pl_name,VAE_anomaly,ESI_equal,CDHS,SEPHI_simple,pl_rade,pl_dens,pl_insol,st_teff,pl_orbeccen
Kepler-1041 b,0.005984146865447398,0.0,0.0,0.0,2.94,0.35208711433756806,117.956,5957.0,0.0
Kepler-478 b,0.005983219145519781,0.0,0.0,0.0,2.71,0.39019963702359345,39.56,5210.0,0.0
Kepler-1450 b,0.005980108135765938,0.0,0.0,0.009260544207789254,1.71,0.7114337568058077,3.078,4524.0,0.0
TOI-2989 b,0.005975085378177123,0.0,0.0,0.0,12.55405838,0.49001814882032674,124.0,4672.0,0.0
TOI-815 c,0.005969944549889696,0.4239338428465793,0.061521611369336815,6.830948052595587e-64,2.62,1.3067150635208713,8.03,4869.0,0.22
TOI-561 e,0.005965928878654086,0.5694741418026452,0.07415718330927863,3.0858120213769015e-15,2.517,0.7803992740471869,4.89,5342.0,0.074
Kepler-417 c,0.005963803558052843,0.0,0.0,0.0,2.69,0.3938294010889292,30.968,5177.0,0.0
Kepler-186 d,0.005950504884082839,0.0,0.0,8.613459653370633e-48,1.4,0.9237749546279492,7.204,3788.0,0.0
CoRoT-24 c,0.005946740983469884,0.0,0.0,0.0,5.0,0.23593466424682397,26.0656,4950.0,0.0
Kepler-1867 b,0.00594129936691612,0.0,0.0,0.0,1.15985997,1.0544464609800364,82.32,5693.0,0.0
Kepler-1731 b,0.00593631408911904,0.0,0.0,1.491147810134003e-222,2.93295657,0.35208711433756806,13.3,4859.0,0.0
Kepler-1114 b,0.005936224843413019,0.0,0.0,0.0,1.35,0.9691470054446462,39.321,5374.0,0.0
Kepler-338 d,0.00593457112133253,0.36651043149409035,0.08967783298603464,0.0,3.0,0.3430127041742287,53.556,5923.0,0.03
Kepler-316 c,0.005933338049157995,0.0,0.0,0.0,1.16,1.0544464609800364,37.377,4204.0,0.0
TOI-1136 g,0.005924202270479058,0.44814226470443286,0.08559063952554483,0.0,2.53,0.3448275862068966,17.9249,5770.0,0.04
Kepler-1118 b,0.005921618297056438,0.0,0.0,0.0,2.74,0.38475499092558985,20.011,5688.0,0.0
K2-115 b,0.0059215103125221345,0.2876825923933653,0.08826200780037043,0.0,11.80305668,0.1941923774954628,20.4393,5870.0,0.063
Kepler-224 c,0.005919790838336559,0.0,0.0,0.0,3.12,0.32486388384754994,86.332,5018.0,0.0
Kepler-1696 b,0.0059183248640157496,0.0,0.0,5.0040047753711456e-113,2.80982017,0.3720508166969147,10.04,5712.0,0.0
Kepler-143 c,0.005908477509248325,0.0,0.0,0.0,3.37,0.29401088929219604,58.7,5848.0,0.0
Kepler-809 b,0.005907090988617453,0.0,0.0,6.761462628843603e-217,3.01,0.3411978221415608,13.155,5734.0,0.0
Kepler-1735 b,0.005906399711417886,0.0,0.0,8.693209875876423e-295,1.19429134,1.0780399274047188,15.01,3975.0,0.0
Kepler-29 b,0.005894627026501805,0.0,0.0,0.0,2.55,0.29945553539019965,55.9,5378.0,0.0
Kepler-303 c,0.005890971134962511,0.0,0.0,0.0,1.14,1.043557168784029,25.851,3944.0,0.0
Kepler-198 c,0.005880955908722012,0.0,0.0,9.84673690162637e-153,2.47,0.44101633393829404,11.354,5574.0,0.0
Kepler-1541 b,0.0058756732893268425,0.0,0.0,0.0,1.16,1.0544464609800364,75.56,5282.0,0.0
Kepler-1411 b,0.0058605177304747215,0.0,0.0,4.343273973313079e-84,2.82,0.3720508166969147,8.927,5664.0,0.0
HD 23472 f,0.005838184720187413,0.44097585365794734,0.056579580060898055,0.0,1.137,0.544464609800363,26.3,4684.0,0.07
LTT 9779 b,0.005822859935265715,0.0,0.0,0.0,4.72,0.27876588021778587,1781.1556,5443.0,0.0
Kepler-1815 b,0.0058178135661767745,0.0,0.0,0.0,2.7489262,0.38294010889292196,80.01,5516.0,0.0
Kepler-1849 b,0.005817164258557333,0.0,0.0,4.075049679349549e-06,2.38685349,0.46098003629764067,3.76,4806.0,0.0
Kepler-325 d,0.005806853800962822,0.0,0.0,2.3973364134156407e-177,2.79,0.3756805807622504,12.083,5752.0,0.0
Kepler-1458 b,0.005802311042429013,0.0,0.0,1.576249647112325e-69,2.76,0.38112522686025413,8.293,5653.0,0.0
Kepler-728 b,0.005801734333607686,0.0,0.0,0.0,3.34,0.29764065335753176,484.51,5660.0,0.0
Kepler-899 b,0.005793899342893776,0.0,0.0,0.0,2.68,0.39564428312159716,62.198,5595.0,0.0
Kepler-582 b,0.0057828653876789,0.0,0.0,0.0,3.68,0.2613430127041742,25.056,5564.0,0.0
Kepler-498 b,0.005777338415335792,0.0,0.0,0.0,3.03,0.3375680580762251,202.775,5744.0,0.0
Kepler-398 b,0.0057668253111263805,0.0,0.0,0.0,0.93,0.9292196007259529,81.287,4493.0,0.0
Kepler-1820 b,0.005765032153229142,0.0,0.0,0.0,3.11883067,0.32486388384754994,23.41,5841.0,0.0
Kepler-1011 b,0.005764097273111176,0.0,0.0,0.0,2.87,0.3629764065335753,108.788,5416.0,0.0
Kepler-138 d,0.005755463830814871,0.7026226812011719,0.0340599455040832,0.00036962812428980554,1.51,0.6533575317604357,3.4,3841.0,0.01
Kepler-1676 b,0.005730376599364516,0.0,0.0,0.0,3.3769596,0.29219600725952816,33.45,5878.3,0.0
TOI-1438 b,0.005724596343234462,0.0,0.0,0.0,3.04,0.3266787658802178,145.0,5230.0,0.0
K2-136 d,0.0057068376229880416,0.5628619100516864,0.0516642624352124,2.1315254379985434e-45,1.565,0.7803992740471869,7.07,4500.0,0.071
Kepler-786 b,0.005705825362616722,0.0,0.0,1.6444334256997945e-05,2.43,0.4500907441016334,3.658,4838.0,0.0
Kepler-1956 b,0.005705558150830217,0.0,0.0,0.0,1.08940238,1.0181488203266789,48.82,4391.0,0.0
Kepler-152 c,0.005702825850518698,0.0,0.0,0.26721433897511887,2.39,0.46098003629764067,2.57,5088.0,0.0
Kepler-547 b,0.0056960169216761685,0.0,0.0,0.0,4.0,0.23593466424682397,87.713,4828.0,0.0
Kepler-576 b,0.005694729875888911,0.0,0.0,0.0,3.27,0.30490018148820325,16.817,5672.0,0.0
Kepler-595 c,0.005688133730923509,0.0,0.0,0.0,1.009,1.252268602540835,50.23,5138.5,0.0
Kepler-172 e,0.0056711418015841205,0.0,0.0,0.0,2.76,0.38112522686025413,23.431,5526.0,0.0
Kepler-712 b,0.005657011209363626,0.0,0.0,0.0,3.41,0.2885662431941924,15.801,5148.0,0.0
Kepler-1779 b,0.005642073528504755,0.0,0.0,0.0,3.03295685,0.3375680580762251,67.34,5730.0,0.0
Kepler-1670 b,0.005635487506888129,0.0,0.0,0.0,3.3564801,0.2958257713248639,67.67,5838.0,0.0
Kepler-85 e,0.005634322530450854,0.0,0.0,0.0,1.27,0.29038112522686027,24.318,5436.0,0.0
Kepler-609 b,0.00562651435403773,0.0,0.0,0.0,3.35,0.29764065335753176,258.059,5971.0,0.0
Kepler-1697 b,0.0056157089311818465,0.0,0.0,0.0,1.25954761,1.0580762250453721,37.3,4681.53,0.0
HIP 8152 c,0.005613710682699263,0.3198874000609682,0.08153015974780864,0.0,2.52442508,0.6588021778584392,39.9,5618.0,0.2
Kepler-1469 b,0.005588862952244423,0.0,0.0,0.0,2.8,0.3756805807622504,24.901,5507.0,0.0
Kepler-716 b,0.005581144268043731,0.0,0.0,0.0,2.9,0.3575317604355717,42.493,5099.0,0.0
Kepler-121 c,0.00557255704890355,0.0,0.0,1.8482725636231127e-49,2.27,0.49183303085299457,7.296,5311.0,0.0
