pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
Teegarden's Star d,0.954,,0.9419237749546281,0.12,3034.0,0.07,159.0,0.5574832353027264,0.13926708892390188,0.012502003526205804,3.4257012994334426,0.702136540069662,2.344706,1.2242373403371216,0.04281785551444198,0.8178259430417423
K2-264 b,2.231,,0.5045372050816697,13.0794,3660.0,0.5,496.0,0.31200363372473483,0.05494243016437874,0.029224768926640873,23.468239800217297,5.575469476155603e-214,2.1258883,1.2356636686688007,0.041898962327292164,5.602629554805806
tau Cet f,1.81,,0.6606170598911071,0.2782,5310.0,0.16,201.97,0.5369337425149777,0.25791976077824147,0.07330234546133069,16.408697877405036,0.949684179486754,0.8954552,1.451327232274855,0.04046475018626315,3.917288065335754
GJ 3323 c,1.32,,1.0018148820326678,0.17,3159.0,0.17,147.8,0.5012867576474744,0.1671234033582951,0.01584121386974347,9.651568154639971,0.8377309115567353,2.0620399,1.1841191751991544,0.04027789983427862,2.304142170598911
GJ 180 d,2.66,,0.4010889292196007,0.1362,3371.0,0.14,187.94,0.41137676411802426,0.11836629047591214,0.021504514612381495,31.62089761807604,0.8189969039909923,1.5676792,1.2861732247829178,0.04008145600262344,7.548933241379312
Kepler-296 d,2.09,,0.3448275862068966,2.9,3740.0,0.33,403.0,0.4188226527513558,0.23704154568834118,0.031361863546503436,13.186497893611149,0.03681569489936274,1.259467,1.3480595293464204,0.03991608706215952,3.1480444827586203
Kepler-440 b,1.86,,0.6388384754990926,1.2,4134.0,0.34,229.0,0.5218765030711032,0.4968473542585724,0.04188705454933415,17.21941950502332,0.970772005113879,1.3398265,1.3239080589016243,0.03976158230761653,4.110833597096189
Ross 508 b,1.83,,0.6515426497277677,1.2464,3071.0,0.33,293.86,0.5060757785312261,0.47756900497302945,0.013490409787892758,16.725716383590022,0.9699811131298489,1.8860031,1.1770956654537712,0.03913888343224664,3.992970658802178
Kepler-296 e,1.53,,0.7441016333938294,1.41,3740.0,0.33,337.0,0.5314131328659256,0.46274511826606,0.0313618635465052,11.163365895949497,0.9534708910210298,1.5479418,1.2289707324817765,0.03856293056272407,2.6650572958257714
Kepler-10 d,3.49,,0.2813067150635209,3.9198,5708.0,0.19,387.0,0.4180563906151465,0.19431851141511586,0.0839343911951483,50.08930311975819,3.9162535797722097e-07,0.2963812,1.5004694741018205,0.03838932153986276,11.957940281306719
HD 20794 e,2.03,,0.5680580762250453,2.6513,5401.0,0.29,352.04,0.48761029772809006,0.2904455191735652,0.0757332905914259,19.905333658313246,0.17853376034446,0.70551157,1.370434829634742,0.037428316225985504,4.75204836842105
HD 191939 d,2.995,2.8,0.10344827586206896,14.3,5348.0,0.031,540.0,0.3831710552836706,0.06175181996068141,0.07431746540575669,11.64132318680521,1.3384774716801483e-263,0.39867842,1.416086699104236,0.03687028062264972,2.7791611939655176
