pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"HD 129445 b",13.30000000,7.97749301570000e+02,1.860000,0.1462,5646.00,0.700000,173.36
"WASP-141 b",13.56289000,8.54962700000000e+02,1.980000,1061.5542,5900.00,0.000000,1540.00
"TrES-2 b",15.24424000,4.73566700000000e+02,0.884000,903.8640,5850.00,0.000000,1466.00
"HD 108863 b",13.30000000,,1.790000,9.6419,4878.00,0.032000,490.51
"Kepler-1586 b",1.52000000,,4.570000,105.7710,6681.00,0.000000,1013.00
"HD 109749 b",11.10000000,,0.345000,409.4961,5824.00,0.000000,1250.83
"Kepler-1355 b",1.46000000,,4.820000,944.8730,5352.00,0.000000,1448.00
"TOI-2015 c",2.93000000,8.91000000000000e+00,1.950000,6.6800,3297.00,0.000330,448.00
"Kepler-1747 b",4.26508000,,1.190000,138.3300,5477.00,0.000000,875.00
"Kepler-411 d",3.31900000,1.52000000000000e+01,2.300000,3.9000,4974.00,0.128000,410.00
"Kepler-909 b",1.47000000,,4.770000,127.2400,6154.00,0.000000,852.00
"Kepler-169 b",1.13000000,,5.750000,195.2210,4997.00,0.000000,962.00
"Kepler-1557 b",1.53000000,,4.540000,645.5430,6099.00,0.000000,1287.00
"Kepler-30 b",3.90000000,1.13000000000000e+01,1.020000,16.3790,5498.00,0.042000,524.00
"TOI-4156 c",2.92303762,,1.950000,101.3929,5971.64,,809.32
"HD 87816 c",12.40000000,,11.200000,0.4396,4989.00,0.190000,226.65
"Kepler-1710 b",3.19744103,,1.112250,48.9000,5650.00,0.000000,694.00
"Kepler-842 b",1.60000000,,4.280000,588.9500,4848.00,0.000000,1252.00
"Kepler-185 c",2.02000000,,3.160000,16.0290,5208.00,0.000000,530.00
"HD 168009 b",3.05000000,,1.850000,99.3735,5778.33,0.120000,887.57
"MOA-2022-BLG-563L b",14.00000000,1.27131362800000e+02,0.255000,,,,
"Kepler-245 d",3.03000000,2.16000000000000e+01,0.011100,9.4920,5100.00,0.000000,445.00
"Kepler-81 c",2.37000000,4.30000000000000e+00,1.770000,15.6200,4385.00,0.000000,502.00
"HIP 105854 b",12.60000000,,7.160000,71.2902,4780.00,0.020000,822.14
"Kepler-1001 c",1.57799279,,4.350000,72.4000,5376.00,0.000000,804.00
"Kepler-763 b",1.22000000,,5.990000,974.0890,5166.00,0.000000,1414.00
"Kepler-738 b",2.50000000,,2.390000,27.6440,5327.00,0.000000,530.00
"EPIC 211945201 b",5.76000000,1.10000000000000e+01,0.330000,101.0000,6069.00,0.000000,817.00
"TOI-2796 b",17.26183028,1.39844499080000e+02,0.150000,352.0000,5764.00,0.000000,1205.00
"HD 6860 b",11.90000000,,29.300000,406.4355,3802.00,0.280000,1196.06
"HD 86081 b",13.60000000,,1.030000,2003.7697,5939.00,0.011900,1860.31
"Kepler-317 c",1.72000000,,3.900000,81.7610,5497.00,0.000000,837.00
"HD 34445 b",13.90000000,,0.533000,0.4691,5879.00,0.270000,231.47
"OGLE-2018-BLG-0383L b",2.41000000,6.40000000000000e+00,2.510000,,,,
"K2-37 d",2.31000000,1.25000000000000e+01,4.700000,41.3000,5352.00,,646.00
"NGTS-31 b",18.04645893,3.55967815840000e+02,0.300000,643.0000,5710.00,0.000000,1410.00
"Kepler-1498 b",1.33000000,,5.440000,9.8600,5256.00,0.000000,564.00
"HIP 18606 b",14.00000000,,0.490000,4.4294,4860.00,,405.91
"Kepler-256 b",1.59000000,,4.310000,1225.9340,5551.00,0.000000,1681.00
"Kepler-801 b",2.00000000,,3.200000,14.4420,4435.00,0.000000,419.00
"TOI-2525 c",10.13291855,2.08813263399000e+02,1.110000,6.0478,5096.00,0.157000,399.96
"KIC 3526061 b",12.10000000,,17.900000,0.6208,4829.00,0.850000,248.63
"TOI-1248 b",6.80848590,2.74000000000000e+01,0.470000,202.0739,5205.00,0.000000,952.09
"HD 23079 b",13.20000000,,2.020000,0.5273,5994.00,0.073480,237.47
"K2-381 b",1.07500000,,5.570000,,4473.00,,
"WASP-110 b",13.19297028,1.54782434209000e+02,0.396533,279.0000,5392.00,0.000000,1158.00
"HD 11964 c",5.38000000,,0.882000,54.8750,5303.00,0.300000,757.54
"Kepler-219 d",2.81000000,1.91000000000000e+01,4.730000,20.0100,5786.00,0.000000,598.00
"Kepler-962 b",1.97000000,,3.260000,53.8230,5478.00,0.000000,689.00
"OGLE-2018-BLG-1126L b",4.41000000,1.77983907920000e+01,1.140000,,,,
"Kepler-1663 b",3.30395896,,1.660000,4.0700,3844.00,0.000000,362.00
"TIC 52059926 b",10.71000000,5.38000000000000e+03,24.100000,4.4802,4505.00,0.510000,229.60
