pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
Kepler-647 c,4.00135002,,0.23593466424682397,69.0,5906.74,0.0,644.0,0.0,0.0,0.0,63.31403503831407,0.0,0.010320641192745658
TOI-4551 b,11.85910158,473.56432643,0.31578947368421056,1247.74,4896.0,0.101,1655.0,0.12549503895656414,0.000402985963662413,0.062242880803546716,2206.183468132717,0.0,0.010315367494303715
Kepler-1770 b,2.84141754,,0.3666061705989111,56.43,5602.0,0.0,699.0,0.0,0.0,0.0,35.22845127203896,0.0,0.010314023705272754
TOI-2096 b,1.243,,1.0798548094373865,9.4,3300.0,0.15,445.0,0.47436408013252934,0.10779638659711226,0.019607843137253025,8.686950805674238,7.075121758449885e-96,0.01031313982035777
Kepler-1710 b,3.19744103,,0.20186025408348457,48.9,5650.0,0.0,694.0,0.0,0.0,0.0,27.64057387437056,0.0,0.010298737958723155
Kepler-123 b,2.94,55.3,2.177858439201452,138.807,6089.0,0.0,817.0,0.0,0.0,0.0,231.82498893959226,0.0,0.010294197708480814
CoRoT-28 b,10.704595,153.82972,0.12522686025408347,672.7522,5150.0,0.047,1349.25,0.14103239293750064,0.0007808242131766479,0.06902815622161529,643.4233587735761,0.0,0.010291827413029024
Kepler-689 b,2.89,,0.35934664246823955,35.337,5518.0,0.0,536.0,0.0,0.0,0.0,36.332537375176074,0.0,0.010289163482415382
Kepler-58 c,2.86,53.0,1.8148820326678767,64.389,5843.0,0.0,799.0,0.0,0.0,0.0,177.8423177984435,0.0,0.010261175955255953
Kepler-1321 c,2.4,,0.4573502722323049,115.909,4094.0,0.0,697.0,0.0,0.0,0.0,26.483249762837925,0.0,0.010252086769743885
TOI-1130 c,13.0,336.0,0.15009836660617062,30.0,4360.0,0.0398,650.0,0.26151746079829524,0.024865364419150198,0.04792434685045627,1381.321057444218,0.0,0.010244189303021027
TOI-125 b,2.726,9.5,0.4664246823956443,185.0,5320.0,0.194,1037.0,0.2235254401277495,0.003696432614761887,0.0735694822888232,39.57743900718998,0.0,0.01023978711378588
Kepler-949 c,2.97,,0.3466424682395644,27.2,5211.0,0.0,582.0,0.0,0.0,0.0,38.039931450518424,0.0,0.010234442255928261
Kepler-118 c,7.68,,0.10054446460980038,21.409,5274.0,0.0,564.0,0.0,0.0,0.0,190.77894168201786,0.0,0.010234300789279019
Kepler-266 c,3.89,,0.24319419237749548,5.592,5885.0,0.0,421.0,0.0,0.0,0.0,59.964002388976276,3.822894037086624e-23,0.010227492289671038
Kepler-67 b,2.94,,0.35208711433756806,30.6,5331.0,0.0,602.0,0.0,0.0,0.0,37.478373211900745,0.0,0.010217211925607882
Kepler-81 b,2.42,17.2,1.2105263157894737,39.95,4385.0,0.0,635.0,0.0,0.0,0.0,71.86359552487427,0.0,0.010212404018081891
TOI-238 b,1.559,3.37,1.234119782214156,753.1,5059.0,0.18,1378.0,0.1966628836832687,0.0008791484761653831,0.06659721109151484,19.587737203381636,0.0,0.010202093224550565
HD 136352 c,2.916,11.24,0.453297277676951,35.1,5664.0,0.0,677.0,0.0,0.0,0.0,47.079764211192455,0.0,0.01019419300512435
GJ 317 b,13.3,794.5,0.3375680580762251,0.0159,3496.0,0.0826,100.32,0.2237151642785,0.011176774833161087,0.02484372495592234,3326.632894209357,0.6398693651409051,0.010190695049405687
